"filename", "language", "GLSL", "C++", "CMake", "C", "Markdown", "PostCSS", "HTML", "SCSS", "XML", "Objective-C", "JavaScript", "comment", "blank", "total"
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/i686-w64-mingw32-clang.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/i686-w64-mingw32.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/modules/FindEpollShim.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/modules/FindOSMesa.cmake", "CMake", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/x86_64-w64-mingw32-clang.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMake/x86_64-w64-mingw32.cmake", "CMake", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/CMakeLists.txt", "CMake", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 166
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/getopt.c", "C", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 89, 33, 231
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/getopt.h", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 10, 58
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/glad/gl.h", "C++", 0, 5658, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 156, 5997
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/glad/gles2.h", "C++", 0, 1467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 156, 1806
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/glad/vulkan.h", "C++", 0, 5835, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 424, 6331
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/linmath.h", "C++", 0, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 69, 607
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/mingw/_mingw_dxhelper.h", "C++", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 118
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/deps/mingw/dinput.h", "C++", 0, 2090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 190, 2468
